inverse_volatility,minimum_variance,minimum_variance_oas
-3.859477082648351e-05,-0.00022238928996014227,-0.00041596764743382546
-2.6400834807366617e-06,0.00046823567109448316,0.0002805135152377547
0.0001295926354116092,0.00022053744386537182,-8.016443594617789e-05
7.119322940495936e-05,0.00037383500891586917,0.0001492757620544193
4.401899535417237e-05,0.0002931406270192743,9.753608946935666e-05
1.3635203339802042e-05,-0.00019146845916619221,-0.0003472589478151101
1.9718307375888553e-05,-4.554579054001339e-05,-0.0001197405001197659
6.422224441827662e-05,0.00045276657006741066,0.0003072177597569576
-1.2440099762675818e-05,-6.703433519887424e-05,-0.00012734056502350784
-2.1487499634294217e-05,-0.00044812087769430996,-0.0005825770515785153
-5.317964839357252e-05,6.098666114812953e-05,-0.00013023546001069395
-0.00015753559734077422,-0.001192756266665068,-0.0013323976851616524
-0.00011108532886083911,-0.00012368761123857447,-0.00023822102108778088
4.459979253226663e-06,-0.00022206126639726684,-0.0003235524416713366
0.00012622830193441512,0.00031191607429392006,0.00014743484765398864
3.3798404033915405e-05,-0.0006502173746896645,-0.000715006345347136
0.00010535018543330794,0.0001762399515248685,8.152006158927236e-05
0.0001248222684031685,-0.0001456913772099533,-0.0003699163412371161
8.782503907912907e-05,-0.00017205791229914192,-0.00038801852102261894
5.357957440924049e-05,-0.00016215776506666547,-0.0004925367371139208
-9.017793519277797e-05,-0.000661498796209724,-0.0007787301384128778
-1.9510644993714696e-06,-2.7045416823875e-05,-0.00012378996808640015
7.884102927369134e-05,-0.00012887715185726478,-0.0003891877538619086
4.610821560073773e-05,9.53351766032262e-05,-0.00010299908073025581
8.838309781717451e-05,-0.0002025000904937329,-0.0003835536584001606
0.00014299704738556646,0.0001290682444486444,4.404049856342525e-05
7.362596473913285e-05,-2.0027624579045916e-06,-8.139859478567066e-05
0.0001696066404463464,0.0008149428017307796,0.0005076052191818776
9.925698212942267e-05,0.00044599331985451126,0.0001960063213523128
0.00011931886780650801,0.0005759632771067592,0.0003202980917343629
0.00017668300659798078,-0.00028273054512847044,-0.0004083898674617319
5.949884449311585e-05,-0.00011927997046788378,-0.0003451637662021963
6.208088506446768e-05,0.0006869915986810907,0.0003758137934658854
-7.025802759193586e-06,-0.00032989065964182185,-0.0004891408208452053
-8.801039953187229e-06,9.119107505740857e-05,-6.0244598092395476e-05
3.7948678623991904e-05,0.00025883068885730295,9.072033493457993e-05
7.372593197739594e-05,0.0002773989559783253,0.00015256707974010836
-7.58409363404209e-05,-0.0003821511384370789,-0.0004645744651764937
5.868863005503777e-05,0.0001200772014460558,-5.0398084619451624e-05
-2.631366184643179e-05,7.11627665759681e-05,-8.654943416024506e-05
-4.107861868645645e-05,-0.0006578484683656059,-0.0008141391278787737
1.5144848704082384e-05,-0.0004224780601905909,-0.0005939987909643901
4.428280350481136e-05,0.00016671489261148477,-0.00013418730400321656
8.553922751469833e-05,0.000546219155984349,0.00025057496371387665
8.414757922585157e-05,0.0002297167040581284,-4.872874748823594e-05
5.3393945382224106e-05,0.00031663260821692774,3.1968004364083886e-05
0.0001667273564349154,0.0006372909389598235,0.000494964012611912
5.986878744392772e-05,-0.0002352405736559204,-0.0004374344022333354
9.441721344092188e-05,6.964421076546693e-05,-0.00010636824667870337
5.485674420662668e-05,0.00035013848051513246,0.00018263759052032066
7.702625467582999e-05,-0.00028208089671315684,-0.00032338507511591255
-0.00011937714153626298,-0.0004572075627571021,-0.0005456565084205208
-9.084127051862476e-06,-0.00027832085578552223,-0.00032560898635650994
0.00012767276234576446,0.0006464998131610107,0.0002034022953030234
1.905212604200022e-05,8.392705828859178e-05,-0.00017920940925733725
-3.928364206864319e-05,-0.0006277885248830263,-0.000673424637950979
5.06599794638739e-05,-0.00011608098435021488,-0.00029363995873625374
0.00013180743298275453,0.0002839112339562002,7.550527167413542e-05
-2.653969748350472e-05,-0.00019915594250574718,-0.0003860243488190584
-6.424362744502992e-06,-1.54935927633573e-05,-9.013298849492731e-05
1.642915927329837e-05,-0.0007925409772779865,-0.0009713742395957636
5.437364013968696e-05,0.0003668698181922839,0.00020288153712052264
-6.427758425415838e-05,-0.0006213906643958773,-0.0007111685410277427
0.00010850335883434459,0.0003502264511746231,0.00020464352638944073
0.00011379739981808422,0.0002641561044802649,0.00016234199774187058
0.00010547244528082118,-1.7206540224849553e-05,-0.00023971500677776687
9.76870203186072e-05,0.00042742015428284374,0.00012400003875402544
9.447507748626168e-05,0.00023354820758934096,9.844103764225252e-05
0.00010810879893918891,-0.00034249363246700984,-0.0007231997482453802
