message_type,sending_time,arrival_time
MarketChange,1772701404548469000,1772701404548546355
MarketChange,1772701404567577000,1772701404567650030
MarketChange,1772701404632215000,1772701404632290836
MarketChange,1772701404632790000,1772701404632858266
MarketChange,1772701404781807000,1772701404781882249
MarketChange,1772701404858083000,1772701404858178828
MarketChange,1772701405100898000,1772701405100966165
MarketChange,1772701405176096000,1772701405176174751
MarketChange,1772701405297418000,1772701405297482781
MarketChange,1772701406028125000,1772701406028226048
MarketChange,1772701406028523000,1772701406028620628
MarketChange,1772701406028547000,1772701406028622601
MarketChange,1772701406028969000,1772701406029035348
MarketChange,1772701406034092000,1772701406034157677
Ticker,1772701406044725000,1772701406044815819
MarketChange,1772701406044725000,1772701406044815819
MarketChange,1772701406127293000,1772701406127371279
MarketChange,1772701406160780000,1772701406160944318
MarketChange,1772701406175844000,1772701406175910396
MarketChange,1772701406199963000,1772701406200028480
MarketChange,1772701406256291000,1772701406256376557
MarketChange,1772701406274579000,1772701406274650899
MarketChange,1772701406338485000,1772701406338562824
MarketChange,1772701406343871000,1772701406343937552
MarketChange,1772701406425631000,1772701406425710768
MarketChange,1772701406425879000,1772701406425957817
Ticker,1772701406443327000,1772701406443423954
MarketChange,1772701406443327000,1772701406443423954
Ticker,1772701406635775000,1772701406635885076
MarketChange,1772701406635775000,1772701406635885076
MarketChange,1772701406716290000,1772701406716364976
MarketChange,1772701407154259000,1772701407154343482
MarketChange,1772701407659414000,1772701407659491212
MarketChange,1772701407664853000,1772701407664921365
MarketChange,1772701407664880000,1772701407665044666
MarketChange,1772701407665449000,1772701407665512951
MarketChange,1772701407739895000,1772701407739981989
MarketChange,1772701407739925000,1772701407740096113
MarketChange,1772701408086274000,1772701408086347083
MarketChange,1772701408448849000,1772701408448942170
MarketChange,1772701408872341000,1772701408872407268
MarketChange,1772701408937527000,1772701408937595962
MarketChange,1772701408952820000,1772701408952888185
Ticker,1772701408953100000,1772701408953188417
MarketChange,1772701408953100000,1772701408953188417
MarketChange,1772701408953135000,1772701408953314639
MarketChange,1772701408953159000,1772701408953316003
Ticker,1772701408953204000,1772701408953438435
MarketChange,1772701408953204000,1772701408953438435
Ticker,1772701408953250000,1772701408953442951
MarketChange,1772701408953250000,1772701408953442951
MarketChange,1772701408953278000,1772701408953562219
MarketChange,1772701408953795000,1772701408953860003
MarketChange,1772701408954408000,1772701408954486981
MarketChange,1772701409034251000,1772701409034328447
MarketChange,1772701409058926000,1772701409058987771
MarketChange,1772701409086694000,1772701409086766421
MarketChange,1772701409134448000,1772701409134510410
MarketChange,1772701409143670000,1772701409143737049
MarketChange,1772701410263276000,1772701410263383661
MarketChange,1772701410362530000,1772701410362621553
MarketChange,1772701410436630000,1772701410436702026
MarketChange,1772701410850698000,1772701410850850880
Ticker,1772701411410228000,1772701411410334495
MarketChange,1772701411410228000,1772701411410334495
MarketChange,1772701411537389000,1772701411537463272
MarketChange,1772701411638430000,1772701411638498742
MarketChange,1772701411706712000,1772701411706785948
MarketChange,1772701412313843000,1772701412313921984
Ticker,1772701412646574000,1772701412646674432
MarketChange,1772701412646574000,1772701412646674432
Ticker,1772701412945538000,1772701412945684726
Ticker,1772701412945567000,1772701412945809084
MarketChange,1772701412945567000,1772701412945809084
MarketChange,1772701412945970000,1772701412946145337
MarketChange,1772701413026158000,1772701413026239021
MarketChange,1772701413026183000,1772701413026361809
MarketChange,1772701413026206000,1772701413026363707
MarketChange,1772701413048524000,1772701413048596329
MarketChange,1772701413078961000,1772701413079036932
MarketChange,1772701413079271000,1772701413079503806
MarketChange,1772701413079941000,1772701413080000441
MarketChange,1772701413080298000,1772701413080365759
MarketChange,1772701413116767000,1772701413116840156
Ticker,1772701413182919000,1772701413183022370
MarketChange,1772701413182919000,1772701413183022370
MarketChange,1772701413183217000,1772701413183289683
MarketChange,1772701413183265000,1772701413183413571
MarketChange,1772701413842016000,1772701413842095530
MarketChange,1772701413842543000,1772701413842720510
MarketChange,1772701413842605000,1772701413842725017
Ticker,1772701413873296000,1772701413873392354
MarketChange,1772701413873296000,1772701413873392354
MarketChange,1772701413875303000,1772701413875491043
MarketChange,1772701414065066000,1772701414065148712
MarketChange,1772701414067483000,1772701414067550814
MarketChange,1772701414159827000,1772701414159895150
MarketChange,1772701414160178000,1772701414160244796
MarketChange,1772701414174097000,1772701414174165621
MarketChange,1772701415433513000,1772701415433614894
Ticker,1772701416603159000,1772701416603262906
MarketChange,1772701416603159000,1772701416603262906
MarketChange,1772701416603476000,1772701416603544291
MarketChange,1772701416744218000,1772701416744297734
Ticker,1772701416868855000,1772701416868958602
MarketChange,1772701416868855000,1772701416868958602
MarketChange,1772701417287344000,1772701417287441186
MarketChange,1772701417287695000,1772701417287764795
Ticker,1772701417287781000,1772701417287893771
MarketChange,1772701417287781000,1772701417287893771
MarketChange,1772701417287883000,1772701417288013042
MarketChange,1772701417287911000,1772701417288017644
Ticker,1772701417287959000,1772701417288139534
MarketChange,1772701417287959000,1772701417288139534
Ticker,1772701417288074000,1772701417288262508
MarketChange,1772701417288074000,1772701417288262508
MarketChange,1772701417288399000,1772701417288510652
Ticker,1772701417290183000,1772701417290378478
MarketChange,1772701417290183000,1772701417290378478
MarketChange,1772701417294847000,1772701417294956648
MarketChange,1772701417297394000,1772701417297483588
Ticker,1772701417297445000,1772701417297608976
Ticker,1772701417297462000,1772701417297611355
MarketChange,1772701417297462000,1772701417297611355
Ticker,1772701417297510000,1772701417297616656
MarketChange,1772701417297510000,1772701417297616656
Ticker,1772701417298245000,1772701417298437976
MarketChange,1772701417298245000,1772701417298437976
Ticker,1772701417298465000,1772701417298562186
Ticker,1772701417298474000,1772701417298564933
MarketChange,1772701417298474000,1772701417298564933
MarketChange,1772701417298564000,1772701417298680996
MarketChange,1772701417522704000,1772701417522778849
MarketChange,1772701417624215000,1772701417624294298
MarketChange,1772701418065131000,1772701418065217879
MarketChange,1772701418066496000,1772701418066568072
MarketChange,1772701418084900000,1772701418084981531
MarketChange,1772701418158878000,1772701418158959669
MarketChange,1772701418170289000,1772701418170415474
MarketChange,1772701418180063000,1772701418180135945
MarketChange,1772701418184512000,1772701418184631738
MarketChange,1772701418212301000,1772701418212372293
MarketChange,1772701418530264000,1772701418530328655
MarketChange,1772701418605068000,1772701418605138600
MarketChange,1772701418798320000,1772701418798409989
MarketChange,1772701418885521000,1772701418885598750
MarketChange,1772701418916382000,1772701418916525006
Ticker,1772701419554899000,1772701419555011639
MarketChange,1772701419554899000,1772701419555011639
MarketChange,1772701419555312000,1772701419555454919
MarketChange,1772701419623556000,1772701419623640494
MarketChange,1772701419625320000,1772701419625393472
MarketChange,1772701419631398000,1772701419631467814
MarketChange,1772701419646829000,1772701419646892518
MarketChange,1772701419670737000,1772701419670802583
MarketChange,1772701419680571000,1772701419680640994
MarketChange,1772701419688371000,1772701419688435177
MarketChange,1772701419688567000,1772701419688636891
MarketChange,1772701419831314000,1772701419831399406
MarketChange,1772701420030504000,1772701420030589656
Ticker,1772701420243808000,1772701420243938892
MarketChange,1772701420243808000,1772701420243938892
MarketChange,1772701420244114000,1772701420244175278
MarketChange,1772701420244361000,1772701420244433514
MarketChange,1772701420244416000,1772701420244557433
MarketChange,1772701420244693000,1772701420244758917
MarketChange,1772701420396402000,1772701420396484154
Ticker,1772701421028006000,1772701421028111500
MarketChange,1772701421028006000,1772701421028111500
MarketChange,1772701421131961000,1772701421132046240
MarketChange,1772701421193886000,1772701421194012926
MarketChange,1772701421294804000,1772701421294933806
Ticker,1772701421295156000,1772701421295250973
MarketChange,1772701421295156000,1772701421295250973
MarketChange,1772701421295197000,1772701421295375593
MarketChange,1772701421295262000,1772701421295378700
Ticker,1772701421295307000,1772701421295499330
MarketChange,1772701421295317000,1772701421295504450
Ticker,1772701421295471000,1772701421295624102
Ticker,1772701421295484000,1772701421295625376
MarketChange,1772701421295484000,1772701421295625376
MarketChange,1772701421295519000,1772701421295747344
MarketChange,1772701421295577000,1772701421295749066
MarketChange,1772701421295605000,1772701421295874464
MarketChange,1772701421295631000,1772701421295879250
MarketChange,1772701421295689000,1772701421296122748
MarketChange,1772701421296230000,1772701421297492951
MarketChange,1772701421296254000,1772701421297615527
MarketChange,1772701421296318000,1772701421297741883
MarketChange,1772701421352547000,1772701421352624939
MarketChange,1772701421769726000,1772701421769808716
Ticker,1772701421779207000,1772701421779361238
Ticker,1772701421779220000,1772701421779481354
MarketChange,1772701421779220000,1772701421779481354
MarketChange,1772701422196611000,1772701422196731446
MarketChange,1772701422266585000,1772701422266682651
MarketChange,1772701422570219000,1772701422570300336
MarketChange,1772701422667601000,1772701422667678254
Ticker,1772701422667935000,1772701422668071746
MarketChange,1772701422667935000,1772701422668071746
MarketChange,1772701422668009000,1772701422668195066
MarketChange,1772701422668180000,1772701422668320406
Ticker,1772701422668436000,1772701422668572727
Ticker,1772701422668453000,1772701422668575669
