message_type,sending_time,arrival_time
MarketChange,1773219796513882000,1773219796513947352
Ticker,1773219796970122000,1773219796970225390
MarketChange,1773219796970122000,1773219796970225390
Ticker,1773219796970174000,1773219796970347764
MarketChange,1773219796970174000,1773219796970347764
MarketChange,1773219796970245000,1773219796970471991
Ticker,1773219796970283000,1773219796970477873
MarketChange,1773219796970283000,1773219796970477873
Ticker,1773219796970327000,1773219796970720775
MarketChange,1773219796970327000,1773219796970720775
MarketChange,1773219796970352000,1773219796970722289
Ticker,1773219796971170000,1773219796971268450
Ticker,1773219796971185000,1773219796971396316
MarketChange,1773219796971185000,1773219796971396316
MarketChange,1773219796971411000,1773219796971519634
MarketChange,1773219796972021000,1773219796972157983
MarketChange,1773219796972416000,1773219796972553709
MarketChange,1773219796973065000,1773219796973204083
Ticker,1773219797085240000,1773219797085322713
MarketChange,1773219797085240000,1773219797085322713
MarketChange,1773219797200136000,1773219797200203664
MarketChange,1773219797200191000,1773219797200328826
MarketChange,1773219797200264000,1773219797200453507
MarketChange,1773219797684055000,1773219797684131759
MarketChange,1773219798467412000,1773219798467481444
MarketChange,1773219798901662000,1773219798901739935
MarketChange,1773219798901898000,1773219798901967800
MarketChange,1773219798901922000,1773219798902092311
MarketChange,1773219798902208000,1773219798902590152
MarketChange,1773219798902316000,1773219798902595134
MarketChange,1773219798902453000,1773219798902600031
MarketChange,1773219798902527000,1773219798902715807
MarketChange,1773219798902823000,1773219798902966488
Ticker,1773219798902872000,1773219798902967849
MarketChange,1773219798902872000,1773219798902967849
MarketChange,1773219798903476000,1773219798903633277
MarketChange,1773219798903503000,1773219798903637821
MarketChange,1773219798903668000,1773219798903758809
MarketChange,1773219798905351000,1773219798905557847
MarketChange,1773219798909054000,1773219798909140710
MarketChange,1773219798917423000,1773219798917555822
MarketChange,1773219799146942000,1773219799147072421
MarketChange,1773219799192039000,1773219799192107005
MarketChange,1773219799192303000,1773219799192586886
MarketChange,1773219799192359000,1773219799192589949
MarketChange,1773219799192489000,1773219799192713731
MarketChange,1773219799192736000,1773219799192894899
MarketChange,1773219799192790000,1773219799193020483
MarketChange,1773219799193067000,1773219799193143862
MarketChange,1773219799193092000,1773219799193267136
MarketChange,1773219799194291000,1773219799194400652
MarketChange,1773219799197302000,1773219799197370488
MarketChange,1773219799415159000,1773219799415276440
MarketChange,1773219799483066000,1773219799483178360
Ticker,1773219799484512000,1773219799484666154
Ticker,1773219799484531000,1773219799484789966
MarketChange,1773219799484531000,1773219799484789966
MarketChange,1773219799484844000,1773219799484970488
MarketChange,1773219799484871000,1773219799485094721
Ticker,1773219799484909000,1773219799485096849
MarketChange,1773219799484916000,1773219799485104671
MarketChange,1773219799485169000,1773219799485343211
MarketChange,1773219799485192000,1773219799485344568
MarketChange,1773219799485367000,1773219799485468801
MarketChange,1773219799486105000,1773219799486229115
MarketChange,1773219799486685000,1773219799486853007
MarketChange,1773219799487387000,1773219799487483197
MarketChange,1773219799802647000,1773219799802710308
MarketChange,1773219799945990000,1773219799946153016
MarketChange,1773219799946310000,1773219799946405368
MarketChange,1773219799946560000,1773219799946627195
MarketChange,1773219799946587000,1773219799946646473
MarketChange,1773219799947274000,1773219799947397048
MarketChange,1773219800961451000,1773219800961517883
MarketChange,1773219800961528000,1773219800961710048
MarketChange,1773219801172930000,1773219801173067866
MarketChange,1773219801682702000,1773219801682811616
MarketChange,1773219801724836000,1773219801724908873
MarketChange,1773219801751035000,1773219801751104418
MarketChange,1773219801751270000,1773219801751353296
MarketChange,1773219802016564000,1773219802016642637
MarketChange,1773219802016590000,1773219802016763907
Ticker,1773219802488662000,1773219802488823380
Ticker,1773219802488680000,1773219802488947156
MarketChange,1773219802488680000,1773219802488947156
MarketChange,1773219802489115000,1773219802489213245
MarketChange,1773219802489197000,1773219802489365501
MarketChange,1773219802489542000,1773219802489822314
MarketChange,1773219802489568000,1773219802489944387
MarketChange,1773219802490092000,1773219802490592190
MarketChange,1773219802490224000,1773219802490598357
Ticker,1773219802510071000,1773219802510204492
MarketChange,1773219802510071000,1773219802510204492
MarketChange,1773219802606082000,1773219802606151407
Ticker,1773219802606574000,1773219802606657099
MarketChange,1773219802606574000,1773219802606657099
MarketChange,1773219802606842000,1773219802606898039
Ticker,1773219802606885000,1773219802607022570
MarketChange,1773219802606885000,1773219802607022570
MarketChange,1773219802607048000,1773219802607146976
MarketChange,1773219802607099000,1773219802607271485
MarketChange,1773219802765891000,1773219802765966391
MarketChange,1773219802766125000,1773219802766194954
MarketChange,1773219803063110000,1773219803063172237
MarketChange,1773219803418629000,1773219803418689586
Ticker,1773219803433142000,1773219803433233233
MarketChange,1773219803433142000,1773219803433233233
MarketChange,1773219803433370000,1773219803433434742
MarketChange,1773219803433394000,1773219803433561325
MarketChange,1773219803554913000,1773219803555090802
MarketChange,1773219803554936000,1773219803555212908
MarketChange,1773219803554962000,1773219803555215493
MarketChange,1773219804085500000,1773219804085613564
Ticker,1773219804106587000,1773219804106686125
Ticker,1773219804106600000,1773219804106810418
MarketChange,1773219804106600000,1773219804106810418
MarketChange,1773219804106875000,1773219804106938188
Ticker,1773219804111283000,1773219804111358280
MarketChange,1773219804111283000,1773219804111358280
MarketChange,1773219804111533000,1773219804111591810
Ticker,1773219804399984000,1773219804400078620
Ticker,1773219804400000000,1773219804400199236
MarketChange,1773219804400000000,1773219804400199236
MarketChange,1773219804442993000,1773219804443063588
MarketChange,1773219804443179000,1773219804443242916
Ticker,1773219804443391000,1773219804443475709
MarketChange,1773219804443391000,1773219804443475709
MarketChange,1773219804490377000,1773219804490452819
MarketChange,1773219804490608000,1773219804490673664
MarketChange,1773219804600175000,1773219804600236470
MarketChange,1773219804600201000,1773219804600359334
Ticker,1773219804640988000,1773219804641095832
